gemini-2.5-pro-exp,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex-mini-high,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
gemini-2.5-flash-preview-09-2025-thinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
claude-sonnet-4-5-20250929,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-ocr,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 2.0000,DefaultSVIPChinaOpenSource
gpt-5-pro,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 120.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 8.0000,DefaultSVIP
o1-mini-2024-09-12,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
whisper-1,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens Completion price: $ 0.0000 / 1M tokens,Prompt multiplier: 30 Completion ratio: 0.0000,DefaultSVIP
babbage-002,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 1.0000,DefaultSVIP
gemini-2.5-pro-preview-05-06,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-thinking-all,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
grok-4-deepsearch,Pay-per-use - Chat,Suggested price: $ 4.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 2 Completion ratio: 5.0000,DefaultSVIP
qwen-vl-plus,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIP
llama-3-1-405b-instruct,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
o1-pro-2025-03-19,Pay-per-use - Chat,Suggested price: $ 180.0000 / 1M tokens Completion price: $ 720.0000 / 1M tokens,Prompt multiplier: 90 Completion ratio: 4.0000,DefaultSVIP
qwen2-vl-7b-instruct,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIPChinaOpenSource
qwq-plus-2025-03-05,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 3.0000,DefaultSVIP
gpt-5-2025-08-07,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex-mini-medium,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
claude-sonnet-4-5-20250929-thinking,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-v3-1-250821,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
gemini-2.5-flash-preview-09-2025-nothinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-4-turbo,Pay-per-use - Chat,Suggested price: $ 10.0000 / 1M tokens Completion price: $ 30.0000 / 1M tokens,Prompt multiplier: 5 Completion ratio: 3.0000,DefaultSVIP
grok-4-1-fast-non-reasoning,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
claude-3-7-sonnet-20250219-thinking,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
glm-4.5-air,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 5.0000,DefaultSVIP
gpt-3.5-turbo-0125,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
qvq-max-2025-05-15,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 4.0000,DefaultSVIP
qwen3-coder-flash,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 5.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 10.0000,DefaultSVIP
claude-opus-4-1-20250805-thinking,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
glm-4.6,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
grok-4-fast-non-reasoning-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
o3-mini-2025-01-31-medium,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwen-plus-2025-09-11,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 10.0000,DefaultSVIP
qwen-vl-plus-latest,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIP
claude-3-5-sonnet-20240620,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-v3.1,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
doubao-seed-1-6-flash-250828,Pay-per-use - Chat,Suggested price: $ 0.0300 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.015 Completion ratio: 10.0000,DefaultSVIP
gemini-embedding-001,Pay-per-use - Chat,Suggested price: $ 0.1500 / 1M tokens Completion price: $ 0.4500 / 1M tokens,Prompt multiplier: 0.075 Completion ratio: 3.0000,DefaultSVIP
gpt-5.2-minimal,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
gpt-oss-120b,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIP
grok-3-mini-latest,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 1.8000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 6.0000,DefaultSVIP
grok-4-fast-reasoning-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
deepseek-v3-fast,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 0.9000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash-preview-04-17-nothinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gemini-2.5-pro-exp-03-25,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gemini-2.5-pro-preview-05-06-thinking,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-3.5-turbo,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
gpt-4o-2024-05-13,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 3.0000,DefaultSVIP
gpt-5.1-codex-high,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-image-1,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 40.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 8.0000,DefaultSVIP
deepseek-v3.1-fast,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 6.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
gemini-2.0-flash-001,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-4.1-2025-04-14,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 8.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 4.0000,DefaultSVIP
grok-4-fast-reasoning,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
grok-4-latest,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
grok-code-fast-1-0825,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 1.5000,DefaultSVIP
o1-mini,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
deepseek-v3-250324,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 4.0000,DefaultSVIP
gemini-3-flash-preview,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 6.0000,DefaultSVIP
gpt-5.1-medium,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
gpt-oss-20b,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
o1-2024-12-17,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 4.0000,DefaultSVIP
o3-mini,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
omni-moderation-2024-09-26,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.2000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 1.0000,DefaultSVIP
qwen-turbo-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 3.0000,DefaultSVIP
claude-3-5-haiku-20241022,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-pro-deepsearch,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex-max-high,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
grok-4-1-fast,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
grok-4-fast,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
moonshot-v1-32k,Pay-per-use - Chat,Suggested price: $ 4.0000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 2 Completion ratio: 1.0000,DefaultSVIP
o3-mini-2025-01-31,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
gemini-2.5-pro-preview-06-05,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
qwen2.5-32b-instruct,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIPChinaOpenSource
claude-3-haiku-20240307,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 5.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 5.0000,DefaultSVIP
gpt-4o-mini,Pay-per-use - Chat,Suggested price: $ 0.1500 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.075 Completion ratio: 4.0000,DefaultSVIP
gpt-5-codex-medium,Pay-per-use - Chat,Suggested price: $ 0.6000 / 1M tokens Completion price: $ 4.8000 / 1M tokens,Prompt multiplier: 0.3 Completion ratio: 8.0000,DefaultSVIP
qwen-turbo,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 3.0000,DefaultSVIP
qwen2-vl-72b-instruct,Pay-per-use - Chat,Suggested price: $ 2.3000 / 1M tokens Completion price: $ 6.9000 / 1M tokens,Prompt multiplier: 1.15 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
qwen3-vl-flash-2025-10-15,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 8.0000,DefaultSVIP
deepseek-r1,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash-preview-04-17,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
kimi-k2-thinking,Pay-per-use - Chat,Suggested price: $ 0.6000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.3 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
moonshot-v1-8k,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
o3-mini-medium,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
cld-3-5-sonnet-20240620,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
doubao-seed-1-6-251015,Pay-per-use - Chat,Suggested price: $ 0.1140 / 1M tokens Completion price: $ 0.2850 / 1M tokens,Prompt multiplier: 0.057 Completion ratio: 2.5000,DefaultSVIP
gemini-2.5-pro-thinking,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5-high,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5-medium,Pay-per-use - Chat,Suggested price: $ 0.6000 / 1M tokens Completion price: $ 4.8000 / 1M tokens,Prompt multiplier: 0.3 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
gpt-5.2-codex-xhigh,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
kimi-k2-0711-preview,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 3.2000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 4.0000,DefaultSVIP
deepseek-v3-20250324,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 4.0000,DefaultSVIP
gpt-5,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5-nano-2025-08-07,Pay-per-use - Chat,Suggested price: $ 0.0500 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.025 Completion ratio: 8.0000,DefaultSVIP
o1-preview-2024-09-12,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 4.0000,DefaultSVIP
o3-mini-2025-01-31-high,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwen-plus-2025-07-14,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 10.0000,DefaultSVIP
cld-3-7-sonnet-20250219-thinking,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-v3.2,Pay-per-use - Chat,Suggested price: $ 0.2800 / 1M tokens Completion price: $ 0.4200 / 1M tokens,Prompt multiplier: 0.14 Completion ratio: 1.5000,DefaultSVIPChinaOpenSource
gpt-5.1-all,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
qwen3-235b-a22b-thinking-2507,Pay-per-use - Chat,Suggested price: $ 1.6000 / 1M tokens Completion price: $ 12.8000 / 1M tokens,Prompt multiplier: 0.8 Completion ratio: 8.0000,DefaultSVIPChinaOpenSource
qwen3-vl-32b-thinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 10.0000,DefaultSVIP
chatgpt-4o-latest,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 3.0000,DefaultSVIP
cld-opus-4-20250514,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-v3-0324,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 4.0000,DefaultSVIP
doubao-seed-1-6-vision-250815,Pay-per-use - Chat,Suggested price: $ 0.1600 / 1M tokens Completion price: $ 1.6000 / 1M tokens,Prompt multiplier: 0.08 Completion ratio: 10.0000,DefaultSVIP
gemini-2.5-computer-use-preview-10-2025,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
glm-4.5,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIP
gpt-5-pro-2025-10-06,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 120.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 8.0000,DefaultSVIP
gpt-3.5-turbo-0301,Pay-per-use - Chat,Suggested price: $ 1.5000 / 1M tokens Completion price: $ 1.9500 / 1M tokens,Prompt multiplier: 0.75 Completion ratio: 1.3000,DefaultSVIP
grok-4-1-fast-reasoning,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
qwen3-next-80b-a3b-thinking,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 1.4000 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
cld-3-5-sonnet-20241022,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-pro-nothinking,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
qwen3-30b-a3b-instruct-2507,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
glm-4.5v,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
o3-mini-2025-01-31-low,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwen3-vl-235b-a22b-instruct,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
qwen3-vl-plus-2025-09-23,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
