"string_id","source_zh","tokenized_zh","target_ru","target_text"
"303090","章节","章节","","Глава"
"303091","本服前5名达成的玩家","本服 前 5 名 达成 的 玩家","","Первые 5 игроков на сервере, выполнивших условие"
"303092","荒漠之城","荒漠 之 城","","Город в пустыне"
"303093","购买可获得大量超值忍者养成道具","购买 可 获得 大量 超值 忍者 养成 道具","","Покупка: большое количество выгодных предметов для развития ниндзя"
"303094","是否购买【{0}】","是否 购买 【 ⟦PH_1⟧ 】","","Купить «⟦PH_1⟧»?"
"303095","确定购买此物品吗","确定 购买 此 物品 吗","","Подтвердить покупку этого предмета?"
"303096","购买可获得大量铜币","购买 可 获得 大量 铜币","","Покупка: большое количество монет"
"303097","购买可获得大量尾兽强化道具","购买 可 获得 大量 尾兽 强化 道具","","Покупка: большое количество предметов усиления хвостатых зверей"
"303098","购买可获得大量元素养成道具","购买 可 获得 大量 元素 养成 道具","","Покупка: большое количество предметов развития элементов"
"303099","购买道具","购买 道具","","Купить предмет"
"303100","层数","层数","","Этаж"
"303101","第{0}层","第 ⟦PH_1⟧ 层","","Этаж ⟦PH_1⟧"
"303102","排行榜奖励","排行榜 奖励","","Награды рейтинга"
"303103","竞技场","竞技场","","Арена"
"303104","积分","积分","","Очки"
"303105","深渊排行榜","深渊 排行榜","","Рейтинг Бездны"
"303106","试炼排行榜","试炼 排行榜","","Рейтинг Испытаний"
"303107","组织排行榜","组织 排行榜","","Рейтинг организации"
"303108","暂无","暂无","","Нет"
"303109","首领:{0}","首领 : ⟦PH_1⟧","","Лидер: ⟦PH_1⟧"
"303110","保存设置","保存 设置","","Сохранить настройки"
"303111","任务质量","任务 质量","","Качество задания"
"303112","此处勾选，每次刷新可自动消耗军粮丸接取任务","此处 勾选 ， 每次 刷新 可 自动 消耗 军粮 丸 接取 任务","","Отметьте здесь, и при каждом обновлении будет автоматически расходоваться пилюля провизии, чтобы взять задание."
"303113","高级设置","高级 设置","","Расширенные настройки"
"303114","开始","开始","","Старт"
"303117","开始扫荡后，可通过拖动下方摇杆操控车辆碰撞物资以积累更高积分","开始 扫荡 后 ， 可 通过 拖动 下方 摇杆 操控 车辆 碰撞 物资 以 积累 更高 积分","","После начала зачистки можно, перетаскивая джойстик внизу, управлять машиной и врезаться в припасы, чтобы набрать больше очков."
"303123","可前往悬赏界面接取任务以消耗情报","可 前往 悬赏 界面 接取 任务 以 消耗 情报","","Можно перейти на экран наград и взять задания, чтобы потратить разведданные."
"303124","当前悬赏情报即将达到上限，继续可能会溢出浪费，是否继续？","当前 悬赏 情报 即将 达到 上限 ， 继续 可能 会 溢出 浪费 ， 是否 继续 ？","","Разведданные по наградам почти достигли лимита. Если продолжить, часть может переполниться и пропасть. Продолжить?"
"303125","{0} 解锁","⟦PH_1⟧   解锁","","Разблокировать ⟦PH_1⟧"
"303131","恭喜升级","恭喜 升级","","Поздравляем с повышением уровня"
"303132","出征/竞技场","出征 / 竞技场","","Поход / Арена"
"303133","开始战斗","开始 战斗","","Начать бой"
"303134","交换","交换","","Обмен"
"303135","阵容二","阵容 二","","Состав 2"
"303136","阵容一","阵容 一","","Состав 1"
"303137","剧情/竞技场","剧情 / 竞技场","","Сюжет / Арена"
"303138","忍者联赛","忍者 联赛","","Лига ниндзя"
"303139","组队挑战","组队 挑战","","Командный вызов"
"303140","火影对决","火影 对决","","Поединок Хокагэ"
"303141","未达到开启等级","未 达到 开启 等级","","Уровень открытия не достигнут"
"303142","已售罄","已 售罄","","Распродано"
"303143","暂无修行收益，请耐心等待...","暂无 修行 收益 ， 请 耐心 等待 ...","","Пока нет дохода от тренировки, пожалуйста, подождите…"
"303145","兽魂","兽魂","","Душа зверя"
"303146","Lv.{0} {1}","Lv . ⟦PH_1⟧   ⟦PH_3⟧","","Ур. ⟦PH_1⟧   ⟦PH_3⟧"
"303147","技能:","技能 :","","Навык:"
"303148","请上阵尾兽","请 上阵 尾兽","","Пожалуйста, выставьте хвостатого зверя"
"303149","暂无尾兽","暂无 尾兽","","Хвостатых зверей нет"
"303150","长按忍者头像可查询详细信息","长 按 忍者 头像 可 查询 详细信息","","Нажмите и удерживайте аватар ниндзя, чтобы посмотреть подробную информацию"
"303151","无冷却时间","无 冷却 时间","","Без времени перезарядки"
"303152","被动效果","被动 效果","","Пассивный эффект"
"303153","<color=#00000>{0}</c><color=#00000> Lv.{1}</color>","< color = # 00000 > ⟦PH_1⟧ < / c > < color = # 00000 >   Lv . ⟦PH_3⟧ < / color >","","< color = # 00000 > ⟦PH_1⟧ < / c > < color = # 00000 >   Ур. ⟦PH_3⟧ < / color >"
"303154","可添加","可 添加","","Можно добавить"
"305833","<color=#ffffff>选择一条</c><color=#f6bd0f>新增</color><color=#ffffff>的属性</c>","< color = # ffffff > 选择 一条 < / c > < color = # f6bd0f > 新增 < / color > < color = # ffffff > 的 属性 < / c >","","< color = # ffffff > Выберите один < / c > < color = # f6bd0f > новый < / color > < color = # ffffff > параметр < / c >"
"305834","<color=#ffffff>选择一条</c><color=#f6bd0f>被替换</color><color=#ffffff>的属性</c>","< color = # ffffff > 选择 一条 < / c > < color = # f6bd0f > 被 替换 < / color > < color = # ffffff > 的 属性 < / c >","","<color=#ffffff>Выберите характеристику, которую </c><color=#f6bd0f>заменят</color><color=#ffffff>.</c>"
"305835","咒印传承","咒印 传承","","Наследование проклятой печати"
"305836","<color=#1A202B>所属忍者：</c><color=#E16900>{0}</c>","< color = # 1A202B > 所属 忍者 ： < / c > < color = # E16900 > ⟦PH_1⟧ < / c >","","<color=#1A202B>Ниндзя: </c><color=#E16900>⟦PH_1⟧</c>"
"305837","<color=#1A202B>所属职业：</c><color=#E16900>{0}</c>","< color = # 1A202B > 所属 职业 ： < / c > < color = # E16900 > ⟦PH_1⟧ < / c >","","<color=#1A202B>Класс: </c><color=#E16900>⟦PH_1⟧</c>"
"305838","咒印神炼","咒 印神炼","","Божественная закалка проклятой печати"
"305839","嵌入咒印后预览属性","嵌入 咒 印后 预览 属性","","Предпросмотр характеристик после вставки проклятой печати"
"305840","<color={0}>[{1}]</c><color=#1A202B>可随机获取</c><color=#008900>{2}条</c><color=#1A202B>属性</c>","< color = ⟦PH_1⟧ > [ ⟦PH_3⟧ ] < / c > < color = # 1A202B > 可 随机 获取 < / c > < color = # 008900 > ⟦PH_2⟧ 条 < / c > < color = # 1A202B > 属性 < / c >","","<color=⟦PH_1⟧>[⟦PH_3⟧]</c><color=#1A202B> Можно случайно получить </c><color=#008900>⟦PH_2⟧</c><color=#1A202B> характеристик</c>"
"305841","一键合成将消耗背包中全部绿色咒印及蓝色咒印","一键 合成 将 消耗 背包 中 全部 绿色 咒 印及 蓝色 咒印","","Автосинтез израсходует все зелёные и синие проклятые печати в рюкзаке"
"305842","<color=#1A202B>（启动条件：橙色咒印总强化等级</c><color={0}>{1}</c><color=#1A202B>/{2}）</c>","< color = # 1A202B > （ 启动 条件 ： 橙色 咒印 总 强化 等级 < / c > < color = ⟦PH_1⟧ > ⟦PH_3⟧ < / c > < color = # 1A202B > / ⟦PH_2⟧ ） < / c >","","<color=#1A202B>(Условие активации: общий уровень усиления оранжевых проклятых печатей </c><color=⟦PH_1⟧>⟦PH_3⟧</c><color=#1A202B>/⟦PH_2⟧)</c>"
"305843","请选择装备咒印","请 选择 装备 咒印","","Выберите проклятую печать для экипировки"
"305844","请添加咒印","请 添加 咒印","","Пожалуйста, добавьте проклятую печать."
"305845","<color=#393A3B>今日次数：</c><color=#B60000>{0}</c><color=#393A3B>/{1}</c>","< color = # 393A3B > 今日 次数 ： < / c > < color = # B60000 > ⟦PH_1⟧ < / c > < color = # 393A3B > / ⟦PH_3⟧ < / c >","","< color = # 393A3B > Сегодня попыток: < / c > < color = # B60000 > ⟦PH_1⟧ < / c > < color = # 393A3B > / ⟦PH_3⟧ < / c >"
"305846","<color=#1A202B >是否消耗</color><color=#008900 >{0}</color><img src='{1}'/><color=#1A202B >购买</color><color=#008900 >{2}</color><color=#1A202B >个</color><img src='{3}'/><color=#1A202B >进行通灵</color>","< color = # 1A202B   > 是否 消耗 < / color > < color = # 008900   > ⟦PH_1⟧ < / color > < img   src = ' ⟦PH_3⟧ ' / > < color = # 1A202B   > 购买 < / color > < color = # 008900   > ⟦PH_2⟧ < / color > < color = # 1A202B   > 个 < / color > < img   src = ' ⟦PH_4⟧ ' / > < color = # 1A202B   > 进行 通灵 < / color >","","< color = # 1A202B   > Потратить < / color > < color = # 008900   > ⟦PH_1⟧ < / color > < img   src = ' ⟦PH_3⟧ ' / > < color = # 1A202B   >, чтобы купить < / color > < color = # 008900   > ⟦PH_2⟧ < / color > < color = # 1A202B   > шт. < / color > < img   src = ' ⟦PH_4⟧ ' / > < color = # 1A202B   > и выполнить призыв? < / color >"
"305847","请添加消耗材料","请 添加 消耗 材料","","Пожалуйста, добавьте расходные материалы."
"305848","<color=#1A202B >所属忍者：</color><color=#E16900 >{0}</color>","< color = # 1A202B   > 所属 忍者 ： < / color > < color = # E16900   > ⟦PH_1⟧ < / color >","","< color = # 1A202B   > Ниндзя: < / color > < color = # E16900   > ⟦PH_1⟧ < / color >"
"305849","<color=#1A202B >所属职业：</color><color=#1A202B >{0}</color>","< color = # 1A202B   > 所属 职业 ： < / color > < color = # 1A202B   > ⟦PH_1⟧ < / color >","","< color = # 1A202B   > Класс: < / color > < color = # 1A202B   > ⟦PH_1⟧ < / color >"
"305850","请选择遗传的进化","请 选择 遗传 的 进化","","Пожалуйста, выберите наследуемую эволюцию."
"305851","空进化","空 进化","","Пустая эволюция"
"305852","不能有两条相同类型进化","不能 有 两条 相同 类型 进化","","Нельзя иметь две эволюции одного типа."
"305853","不能传承空进化","不能 传承 空 进化","","Нельзя наследовать пустую эволюцию."
"305854","替换后的进化值低于原进化值，不能遗传","替换 后 的 进化 值 低于 原 进化 值 ， 不能 遗传","","Значение эволюции после замены ниже исходного, наследование невозможно."
"305855","进化总览","进化 总览","","Обзор эволюции"
"305856","不能装备两个相同类型咒印","不能 装备 两个 相同 类型 咒印","","Нельзя экипировать два одинаковых типа проклятой печати."
"305857","咒印更换","咒印 更换","","Замена проклятой печати"
"305858","附加属性：","附加 属性 ：","","Доп. характеристики:"
"305859","固定属性：","固定 属性 ：","","Фиксированные характеристики:"
"305860","新！","新 ！","","Новое!"
"9040001","在自称“斑”的男人深不可测的实力面前，卡卡西等人陷入了苦战。若不能在这里阻止他，外道魔像便会被唤醒。所幸卡卡西偶然发现了“斑”无法被命中的能力背后的秘密。鸣人的螺旋丸终于结结实实地打在了“斑”身上！","在 自称 “ 斑 ” 的 男人 深不可测 的 实力 面前 ， 卡卡 西等 人 陷入 了 苦战 。 若 不能 在 这里 阻止 他 ， 外道 魔 像 便 会 被 唤醒 。 所幸 卡卡 西 偶然 发现 了 “ 斑 ” 无法 被 命中 的 能力 背后 的 秘密 。 鸣人 的 螺旋 丸 终于 结结实实 地 打 在 了 “ 斑 ” 身上 ！","","Перед непостижимой силой человека, называющего себя «Мадарой», Какаси и остальные оказались втянуты в тяжёлый бой. Если не остановить его здесь, будет пробуждён Демонический Статуя Внешнего Пути. К счастью, Какаси случайно раскрыл тайну способности «Мадары» избегать попаданий. Расэнган Наруто наконец-то как следует попал по «Мадаре»!"
"9040002","你果然是…带土！可这怎么可能？","你 果然 是 … 带土 ！ 可 这 怎么 可能 ？","","Ты и правда… Обито! Но как такое возможно?"
"9040003","白色的面具崩落，一直被掩藏其中的真相也展现在了众人面前。即便心中已经想到过了这样的可能性，但卡卡西依然不敢相信，面前这个“斑”的真实身份，竟然是自己曾经的队友，本该在上次忍界大战中牺牲了的——宇智波带土！","白色 的 面具 崩落 ， 一直 被 掩藏 其中 的 真相 也 展现 在 了 众人 面前 。 即便 心中 已经 想到 过 了 这样 的 可能性 ， 但 卡卡 西 依然 不敢相信 ， 面前 这个 “ 斑 ” 的 真实 身份 ， 竟然 是 自己 曾经 的 队友 ， 本该 在 上次 忍界 大战 中 牺牲 了 的 — — 宇智波 带土 ！","","Белая маска раскололась, и скрываемая до сих пор истина предстала перед всеми. Пусть в душе он и допускал такую возможность, Какаси всё равно не мог поверить: истинная личность этого «Мадары» — его бывший товарищ по команде, тот, кто должен был погибнуть в прошлой Великой войне ниндзя, — Учиха Обито!"
"9040004","你想叫我什么就叫什么吧，反正对我来说都没有意义。","你 想 叫 我 什么 就 叫 什么 吧 ， 反正 对 我 来说 都 没有 意义 。","","Называй меня как хочешь — для меня это всё равно не имеет значения."
"9040005","带土？我想起来了！他果然就是以前和卡卡西你还有琳一起在水门老师班里的宇智波小子吧！","带土 ？ 我 想 起来 了 ！ 他 果然 就是 以前 和 卡卡 西 你 还有 琳 一起 在 水门 老师 班里 的 宇智波 小子 吧 ！","","Обито? Я вспомнил! Так это и правда тот пацан из клана Учиха, который раньше учился у учителя Минато вместе с тобой, Какаси, и Рин!"
"9040006","没错…只是没想到我和他竟然会以这种方式再次见面。","没错 … 只是 没想到 我 和 他 竟然 会以 这种 方式 再次 见面 。","","Да… Просто я не ожидал, что мы снова встретимся вот так."
"9040007","这家伙竟然是卡卡西老师的同学？可不管怎么说，我们现在也必须阻止他才行。卡卡西老师你要振作啊！","这 家伙 竟然 是 卡卡 西 老师 的 同学 ？ 可 不管怎么 说 ， 我们 现在 也 必须 阻止 他 才 行 。 卡卡 西 老师 你 要 振作 啊 ！","","Этот тип и правда одноклассник учителя Какаси? Но как бы то ни было, сейчас мы должны его остановить. Учитель Какаси, держитесь!"
"9040008","事到如今，你们还要拼命守护这个残酷的世界吗？好，那你们就来试试看吧！","事到如今 ， 你们 还要 拼命 守护 这个 残酷 的 世界 吗 ？ 好 ， 那 你们 就 来 试试看 吧 ！","","И после всего этого вы всё ещё готовы изо всех сил защищать этот жестокий мир? Хорошо. Тогда попробуйте-ка!"
"9040009","真没想到，你竟然也能够开启万花筒写轮眼。但就算是这样，使用它对你也是很大的负担吧，毕竟这本就不是属于你的东西。","真没想到 ， 你 竟然 也 能够 开启 万花筒 写轮眼 。 但 就算 是 这样 ， 使用 它 对 你 也 是 很大 的 负担 吧 ， 毕竟 这本 就 不是 属于 你 的 东西 。","","Не думал, что ты тоже сможешь пробудить Мангэкё Шаринган. Но даже так его использование — тяжкое бремя для тебя, ведь это изначально не твоё."
"9040010","难道就到此为止了吗……（他说得没错，以我现在的状态已经没办法使出神威了。）","难道 就 到此为止 了 吗 … … （ 他 说 得 没错 ， 以 我 现在 的 状态 已经 没 办法 使出 神威 了 。 ）","","Неужели на этом всё… (Он прав: в моём нынешнем состоянии я уже не смогу использовать Камуи.)"
"9040011","卡卡西老师，现在还没到放弃的时候！","卡卡 西 老师 ， 现在 还 没到 放弃 的 时候 ！","","Учитель Какаси, ещё не время сдаваться!"
"9040012","鸣人将手搭在卡卡西的身上，一股力量马上流入了卡卡西的体内。与九喇嘛建立了羁绊的鸣人，已经可以让九喇嘛将一部分力量分与他人。只要卡卡西有足够的力量使出神威，众人的攻击就有办法击中带土！","鸣人 将 手 搭 在 卡卡 西 的 身上 ， 一股 力量 马上 流入 了 卡卡 西 的 体内 。 与 九 喇嘛 建立 了 羁绊 的 鸣 人 ， 已经 可以 让 九 喇嘛 将 一部分 力量 分 与 他人 。 只要 卡卡 西有 足够 的 力量 使出 神威 ， 众人 的 攻击 就 有 办法 击中 带土 ！","","Наруто положил руку на Какаси, и сила тут же влилась в его тело. Наруто, установивший связь с Курамой, уже мог делиться с другими частью силы Курамы. Стоит лишь Какаси набрать достаточно сил, чтобы применить Камуи, — и тогда атаки остальных смогут попасть по Обито!"
"9040013","噢噢！干得好鸣人！卡卡西你专心恢复力量，在那之前我会和忍者联军的大伙拖住带土那小子的！","噢 噢 ！ 干得 好 鸣 人 ！ 卡卡 西 你 专心 恢复 力量 ， 在 那 之前 我会 和 忍者 联军 的 大伙 拖住 带土 那小子 的 ！","","О-о! Отличная работа, Наруто! Какаси, сосредоточься на восстановлении сил, а до тех пор я вместе с ребятами из Союзных сил шиноби задержу этого Обито!"
