string_id,source_zh,tokenized_zh,module_tag,module_confidence,max_len_target,len_tier,source_locale,placeholder_flags,status,is_empty_source,is_long_text,target_text
ITEM_32,魔法药水：使用后立即恢复32点魔法值,魔法药水：使用后立即恢复32点魔法值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье маны: при использовании немедленно восстанавливает 32 маны
DIALOG_33,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,dialogue,0.95,141,L,zh-CN,count=0,ok,False,False,"Воин, ты наконец пришёл. Я долго тебя ждал. Этот мир стоит перед беспрецедентным кризисом, и только ты можешь его спасти. Прими это задание и отправляйся на север в Ледяные земли, чтобы найти легендарный святой меч."
SYS_34,网络连接失败，请检查网络设置,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False,Ошибка подключения к сети. Проверьте параметры сети
SYS_35,您的背包已满，无法拾取更多物品,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False,Ваш инвентарь полон. Невозможно подобрать больше предметов
BTN_36,确定,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Подтвердить
BTN_37,取消,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Отмена
BTN_38,返回,返回,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Назад
UI_LABEL_39,当前等级：39,当前等级：39,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Текущий уровень: 39
UI_LABEL_40,金币数量：40,金币数量：40,ui_label,0.95,14,S,zh-CN,count=0,ok,False,False,Золотые монеты: 40
SKILL_41,释放火球术，对敌人造成41点火焰伤害，并附加3秒燃烧效果。,释放火球术，对敌人造成41点火焰伤害，并附加3秒燃烧效果。,skill_desc,0.95,62,M,zh-CN,count=0,ok,False,False,"Выпустить огненный шар, нанеся врагу 41 урона огнём и добавив эффект горения на 3 секунды."
SKILL_42,召唤冰霜之刃，对范围内敌人造成42点冰冻伤害，降低移动速度50%。,召唤冰霜之刃，对范围内敌人造成42点冰冻伤害，降低移动速度50%。,skill_desc,0.95,70,M,zh-CN,count=0,ok,False,False,"Призвать ледяной клинок, нанеся врагам в области 42 урона льдом и снизив скорость передвижения на 50%."
ITEM_43,生命药水：使用后立即恢复43点生命值,生命药水：使用后立即恢复43点生命值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье жизни: при использовании немедленно восстанавливает 43 здоровья
ITEM_44,魔法药水：使用后立即恢复44点魔法值,魔法药水：使用后立即恢复44点魔法值,item_desc,0.95,38,M,zh-CN,count=0,ok,False,False,Зелье маны: при использовании немедленно восстанавливает 44 маны
DIALOG_45,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,勇士，你终于来了。我等你很久了。这个世界正面临着前所未有的危机，只有你能拯救它。请接受这个任务，去北方的冰封之地，寻找传说中的圣剑。,dialogue,0.95,141,L,zh-CN,count=0,ok,False,False,"Воин, ты наконец пришёл. Я долго тебя ждал. Этот мир стоит перед беспрецедентным кризисом, и только ты можешь его спасти. Прими это задание и отправляйся на север в Ледяные земли, чтобы найти легендарный святой меч."
SYS_46,网络连接失败，请检查网络设置,网络连接失败，请检查网络设置,system_notice,0.95,30,M,zh-CN,count=0,ok,False,False,Ошибка подключения к сети. Проверьте параметры сети
SYS_47,您的背包已满，无法拾取更多物品,您的背包已满，无法拾取更多物品,system_notice,0.95,32,M,zh-CN,count=0,ok,False,False,Ваш инвентарь полон. Невозможно подобрать больше предметов
BTN_48,确定,确定,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Подтвердить
BTN_49,取消,取消,ui_button,0.95,10,S,zh-CN,count=0,ok,False,False,Отмена
